date,teamAbbrv,pitcher_name,throws,win,loss,tie,finished5
2024-04-03,LAD,Tyler Glasnow,R,1,0,0,1
2024-04-03,SF,Kyle Harrison,L,0,1,0,1
2024-04-01,CHC,Shota Imanaga,L,0,0,1,1
2024-04-01,COL,Dakota Hudson,R,0,0,1,1
2024-04-02,BAL,Cole Irvin,L,0,1,0,1
2024-04-02,KC,Alec Marsh,R,1,0,0,1
2024-03-30,KC,Seth Lugo,R,0,0,1,1
2024-03-30,MIN,Joe Ryan,R,0,0,1,1
2024-04-01,SEA,Emerson Hancock,R,1,0,0,1
2024-04-01,CLE,Triston McKenzie,R,0,1,0,0
2024-04-02,HOU,Framber Valdez,L,1,0,0,1
2024-04-02,TOR,José Berríos,R,0,1,0,1
2024-03-30,CWS,Michael Soroka,R,1,0,0,1
2024-03-30,DET,Kenta Maeda,R,0,1,0,0
2024-03-29,AZ,Merrill Kelly,R,1,0,0,1
2024-03-29,COL,Cal Quantrill,R,0,1,0,1
2024-04-02,CWS,Garrett Crochet,L,0,0,1,1
2024-04-02,ATL,Reynaldo López,R,0,0,1,1
2024-03-31,BAL,Tyler Wells,R,0,1,0,1
2024-03-31,LAA,Reid Detmers,L,1,0,0,1
2024-04-02,MIA,Jesús Luzardo,L,0,1,0,1
2024-04-02,LAA,Tyler Anderson,L,1,0,0,1
2024-04-01,SD,Matt Waldron,R,0,1,0,0
2024-04-01,STL,Kyle Gibson,R,1,0,0,1
2024-03-30,PHI,Aaron Nola,R,0,1,0,0
2024-03-30,ATL,Max Fried,L,1,0,0,0
2024-04-01,TB,Ryan Pepiot,R,0,1,0,1
2024-04-01,TEX,Dane Dunning,R,1,0,0,1
2024-03-31,NYM,Tylor Megill,R,0,1,0,0
2024-03-31,MIL,Colin Rea,R,1,0,0,1
2024-03-28,HOU,Framber Valdez,R,1,0,0,0
2024-03-28,NYY,Nestor Cortes,L,0,1,0,1
2024-04-02,LAD,Ryan Brasier,L,1,0,0,0
2024-04-02,SF,Logan Webb,R,0,1,0,0
2024-04-01,WSH,MacKenzie Gore,L,0,1,0,1
2024-04-01,PIT,Marco Gonzales,L,1,0,0,1
2024-03-29,HOU,Cristian Javier,R,1,0,0,1
2024-03-29,NYY,Carlos Rodón,R,0,1,0,0
2024-04-02,CHC,Javier Assad,R,1,0,0,1
2024-04-02,COL,Kyle Freeland,R,0,1,0,0
2024-04-01,OAK,Joe Boyle,L,0,1,0,0
2024-04-01,BOS,Tanner Houck,R,1,0,0,1
2024-03-30,AZ,Tommy Henry,R,0,1,0,0
2024-03-30,COL,Austin Gomber,R,1,0,0,0
2024-03-28,CIN,Frankie Montas,R,1,0,0,1
2024-03-28,WSH,Josiah Gray,L,0,1,0,0
2024-03-29,PHI,Zack Wheeler,R,1,0,0,1
2024-03-29,ATL,Spencer Strider,R,0,1,0,1
2024-04-03,MIL,Joe Ross,R,1,0,0,0
2024-04-03,MIN,Chris Paddack,R,0,1,0,0
2024-03-28,SD,Yu Darvish,R,1,0,0,1
2024-03-28,SF,Logan Webb,R,0,1,0,1
2024-03-28,SEA,Luis Castillo,R,0,1,0,1
2024-03-28,BOS,Brayan Bello,R,1,0,0,1
